
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.60178				46.00000				Departure				1				Web Server				DBMS Server				
0.61306				23.00000				Arrival					38				DBMS Server				Web Server				
0.61306				46.00000				Arrival					38				DBMS Server				Web Server				
0.63919				45.00000				Arrival					38				DBMS Server				Web Server				
0.65457				30.00000				Arrival					38				DBMS Server				Web Server				
0.68963				37.00000				Scheduling				38				Web Server				Web Server				
0.68963				12.00000				Scheduling				38				Web Server				Web Server				
0.68963				57.00000				Scheduling				38				Web Server				Web Server				
0.68963				16.00000				Departure				0				Web Server				DBMS Server				
0.68963				29.00000				Departure				NA				Web Server				Client Station				
0.68963				10.00000				Departure				0				Web Server				DBMS Server				
0.68963				48.00000				Departure				NA				Web Server				Client Station				
0.68963				5.00000				Departure				0				Web Server				DBMS Server				
0.69783				16.00000				Arrival					36				DBMS Server				Web Server				
0.73289				16.00000				Departure				NA				Web Server				Client Station				
0.73289				50.00000				Departure				NA				Web Server				Client Station				
0.73289				49.00000				Departure				NA				Web Server				Client Station				
0.73289				32.00000				Departure				0				Web Server				DBMS Server				
0.73759				5.00000				Arrival					33				DBMS Server				Web Server				
0.74175				46.00000				Departure				0				Web Server				DBMS Server				
0.81591				5.00000				Departure				NA				Web Server				Client Station				
0.81591				18.00000				Departure				1				Web Server				DBMS Server				
0.87756				46.00000				Arrival					32				DBMS Server				Web Server				
0.87756				18.00000				Arrival					32				DBMS Server				Web Server				
0.90178				23.00000				Scheduling				32				Web Server				Web Server				
0.90178				45.00000				Scheduling				32				Web Server				Web Server				
0.90178				30.00000				Scheduling				32				Web Server				Web Server				
0.90178				8.00000				Departure				0				Web Server				DBMS Server				
0.90178				31.00000				Departure				1				Web Server				DBMS Server				
0.90178				11.00000				Departure				2				Web Server				DBMS Server				
0.90693				21.00000				Arrival					32				DBMS Server				Web Server				
0.90693				31.00000				Arrival					32				DBMS Server				Web Server				
0.90693				11.00000				Arrival					32				DBMS Server				Web Server				
0.95587				46.00000				Departure				NA				Web Server				Client Station				
0.95587				55.00000				Departure				0				Web Server				DBMS Server				
1.05310				11.00000				Departure				1				Web Server				DBMS Server				
1.06282				55.00000				Arrival					31				DBMS Server				Web Server				
1.06282				11.00000				Arrival					31				DBMS Server				Web Server				
1.11591				18.00000				Scheduling				31				Web Server				Web Server				
1.11591				9.00000				Departure				NA				Web Server				Client Station				
1.11591				56.00000				Departure				0				Web Server				DBMS Server				
1.16135				55.00000				Departure				1				Web Server				DBMS Server				
1.16580				8.00000				Arrival					30				DBMS Server				Web Server				
1.16580				55.00000				Arrival					30				DBMS Server				Web Server				
1.20178				21.00000				Scheduling				30				Web Server				Web Server				
1.20178				31.00000				Scheduling				30				Web Server				Web Server				
1.20178				2.00000				Departure				0				Web Server				DBMS Server				
1.20178				28.00000				Departure				NA				Web Server				Client Station				
1.20178				4.00000				Departure				NA				Web Server				Client Station				
1.20178				59.00000				Departure				1				Web Server				DBMS Server				
1.20442				11.00000				Departure				NA				Web Server				Client Station				
1.20442				1.00000				Departure				NA				Web Server				Client Station				
1.20442				51.00000				Departure				2				Web Server				DBMS Server				
1.21993				10.00000				Arrival					26				DBMS Server				Web Server				
1.21993				59.00000				Arrival					26				DBMS Server				Web Server				
1.21993				51.00000				Arrival					26				DBMS Server				Web Server				
1.26960				55.00000				Departure				0				Web Server				DBMS Server				
1.29386				51.00000				Departure				NA				Web Server				Client Station				
1.29386				38.00000				Departure				1				Web Server				DBMS Server				
1.29783				38.00000				Arrival					25				DBMS Server				Web Server				
1.32818				55.00000				Arrival					25				DBMS Server				Web Server				
1.35242				59.00000				Departure				NA				Web Server				Client Station				
1.35242				53.00000				Departure				NA				Web Server				Client Station				
1.35242				22.00000				Departure				NA				Web Server				Client Station				
1.35242				54.00000				Departure				NA				Web Server				Client Station				
1.35242				41.00000				Departure				0				Web Server				DBMS Server				
1.40211				55.00000				Departure				NA				Web Server				Client Station				
1.40211				43.00000				Departure				NA				Web Server				Client Station				
1.40211				15.00000				Departure				1				Web Server				DBMS Server				
1.41765				32.00000				Arrival					19				DBMS Server				Web Server				
1.41765				15.00000				Arrival					19				DBMS Server				Web Server				
1.43871				8.00000				Departure				NA				Web Server				Client Station				
1.43871				58.00000				Departure				0				Web Server				DBMS Server				
1.48779				41.00000				Arrival					18				DBMS Server				Web Server				
1.50443				10.00000				Scheduling				18				Web Server				Web Server				
1.50443				14.00000				Departure				0				Web Server				DBMS Server				
1.52124				58.00000				Arrival					18				DBMS Server				Web Server				
1.59386				38.00000				Scheduling				18				Web Server				Web Server				
1.59386				42.00000				Departure				NA				Web Server				Client Station				
1.59386				47.00000				Scheduling				17				Web Server				Web Server				
1.59832				41.00000				Departure				0				Web Server				DBMS Server				
1.60802				58.00000				Departure				1				Web Server				DBMS Server				
1.62944				2.00000				Arrival					17				DBMS Server				Web Server				
1.62944				58.00000				Arrival					17				DBMS Server				Web Server				
1.65749				56.00000				Arrival					17				DBMS Server				Web Server				
1.68085				41.00000				Arrival					17				DBMS Server				Web Server				
1.70211				32.00000				Scheduling				17				Web Server				Web Server				
1.70211				15.00000				Scheduling				17				Web Server				Web Server				
1.71161				58.00000				Departure				NA				Web Server				Client Station				
1.71161				13.00000				Scheduling				16				Web Server				Web Server				
1.76763				41.00000				Departure				NA				Web Server				Client Station				
1.76763				7.00000				Scheduling				15				Web Server				Web Server				
1.89386				40.00000				Scheduling				15				Web Server				Web Server				
1.90802				2.00000				Scheduling				15				Web Server				Web Server				
1.90802				56.00000				Scheduling				15				Web Server				Web Server				
1.93263				23.00000				Departure				0				Web Server				DBMS Server				
1.93490				0.00000				Departure				NA				Web Server				Client Station				
1.93490				45.00000				Scheduling				14				Web Server				Web Server				
1.97887				37.00000				Departure				NA				Web Server				Client Station				
1.97887				18.00000				Scheduling				13				Web Server				Web Server				
1.97947				12.00000				Departure				NA				Web Server				Client Station				
1.97947				31.00000				Scheduling				12				Web Server				Web Server				
1.99736				21.00000				Departure				NA				Web Server				Client Station				
1.99736				38.00000				Scheduling				11				Web Server				Web Server				
2.00103				30.00000				Departure				NA				Web Server				Client Station				
2.00103				32.00000				Scheduling				10				Web Server				Web Server				
2.00211				24.00000				Scheduling				10				Web Server				Web Server				
2.01161				19.00000				Scheduling				10				Web Server				Web Server				
2.02513				14.00000				Arrival					10				DBMS Server				Web Server				
2.04187				13.00000				Departure				0				Web Server				DBMS Server				
2.10960				57.00000				Departure				0				Web Server				DBMS Server				
2.11240				23.00000				Arrival					10				DBMS Server				Web Server				
2.11730				15.00000				Departure				0				Web Server				DBMS Server				
2.24483				10.00000				Departure				NA				Web Server				Client Station				
2.24483				40.00000				Scheduling				9				Web Server				Web Server				
2.29736				47.00000				Scheduling				9				Web Server				Web Server				
2.31161				14.00000				Scheduling				9				Web Server				Web Server				
2.31161				7.00000				Scheduling				9				Web Server				Web Server				
2.36489				13.00000				Arrival					9				DBMS Server				Web Server				
2.40846				2.00000				Departure				0				Web Server				DBMS Server				
2.40960				23.00000				Scheduling				9				Web Server				Web Server				
2.49210				18.00000				Departure				NA				Web Server				Client Station				
2.49210				38.00000				Scheduling				8				Web Server				Web Server				
2.52868				15.00000				Arrival					8				DBMS Server				Web Server				
2.58938				57.00000				Arrival					8				DBMS Server				Web Server				
2.59203				56.00000				Departure				NA				Web Server				Client Station				
2.59203				24.00000				Scheduling				7				Web Server				Web Server				
2.61161				13.00000				Scheduling				7				Web Server				Web Server				
2.61161				45.00000				Scheduling				7				Web Server				Web Server				
2.64398				47.00000				Departure				NA				Web Server				Client Station				
2.64398				14.00000				Scheduling				6				Web Server				Web Server				
2.69404				19.00000				Departure				0				Web Server				DBMS Server				
2.70170				7.00000				Departure				0				Web Server				DBMS Server				
2.70960				31.00000				Scheduling				6				Web Server				Web Server				
2.73421				23.00000				Departure				NA				Web Server				Client Station				
2.73421				38.00000				Scheduling				5				Web Server				Web Server				
2.74198				40.00000				Departure				0				Web Server				DBMS Server				
2.79210				57.00000				Scheduling				5				Web Server				Web Server				
2.79210				15.00000				Scheduling				5				Web Server				Web Server				
2.79210				32.00000				Scheduling				5				Web Server				Web Server				
2.79642				45.00000				Departure				NA				Web Server				Client Station				
2.79642				31.00000				Scheduling				4				Web Server				Web Server				
2.83154				24.00000				Departure				NA				Web Server				Client Station				
2.83154				57.00000				Scheduling				3				Web Server				Web Server				
2.83186				13.00000				Departure				1				Web Server				DBMS Server				
2.85142				2.00000				Arrival					3				DBMS Server				Web Server				
2.85142				13.00000				Arrival					3				DBMS Server				Web Server				
2.88772				38.00000				Departure				0				Web Server				DBMS Server				
2.94781				15.00000				Departure				1				Web Server				DBMS Server				
2.98779				15.00000				Arrival					3				DBMS Server				Web Server				
